epoch	loss	acc	val_loss	val_acc
0	25.592506352592917	0.6069240196078431	23.09721390744473	0.6236702127659575
1	20.837011973063152	0.7389705882352942	18.831666053609645	0.761968085106383
2	17.02716147665884	0.796875	15.524714023508924	0.7686170212765957
3	13.913274311551861	0.8449754901960784	12.726582730070074	0.788563829787234
4	12.236318256340775	0.9099264705882353	12.202417434530055	0.8816489361702128
5	11.924461649913415	0.9387254901960784	11.842605387910883	0.9122340425531915
6	11.647084296918383	0.9555759803921569	11.556788505391872	0.949468085106383
7	11.411255616767734	0.9595588235294118	11.34221279874761	0.9481382978723404
8	11.247253576914469	0.9715073529411765	11.291827912026264	0.9454787234042553
9	11.216604359009686	0.9739583333333334	11.23745940593963	0.9507978723404256
10	11.197790145874023	0.9736519607843137	11.21574823907081	0.9547872340425532
11	11.168618019889383	0.9761029411764706	11.203500889717265	0.9481382978723404
12	11.148616122264489	0.9800857843137255	11.202972899092005	0.9481382978723404
13	11.149961317286772	0.9791666666666666	11.206952500850596	0.949468085106383
14	11.144652922948202	0.9791666666666666	11.168095243738053	0.9654255319148937
15	11.142692126479803	0.9782475490196079	11.17772445272892	0.9574468085106383
